Race,Race Code,Ten-Year Age Groups,Deaths,Population,Crude Rate,,Reformatted,Indigenous American,Asian or Pacific Islander,Black or African American,White
American Indian or Alaska Native,1002-5,15-24,13362,15342926,87.1,,15-24,13362,18442,159519,505156
American Indian or Alaska Native,1002-5,25-34,20030,13479825,148.6,,25-34,20030,26835,233009,763169
American Indian or Alaska Native,1002-5,35-44,28923,12207744,236.9,,35-44,28923,43733,376329,1334364
American Indian or Alaska Native,,45-54,46247,10675311,433.2,,45-54,46247,88197,754079,2981159
American Indian or Alaska Native,1002-5,55-64,61783,7438683,830.6,,55-64,61783,149881,1171811,5501564
American Indian or Alaska Native,1002-5,65-74,67389,3881756,1736,,65-74,67389,216164,1325210,8425525
American Indian or Alaska Native,1002-5,75-84,63546,1648161,3855.6,,75-84,63546,302372,1383413,12973891
American Indian or Alaska Native,1002-5,85,44570,521951,8539.1,,85+,44570,332448,1183362,15418620
American Indian or Alaska Native,1002-5,Total,345850,65196357,530.5,,,,,,
Asian or Pacific Islander,A-PI,15-24,18442,53083593,34.7,,,,,,
Asian or Pacific Islander,A-PI,25-34,26835,64676190,41.5,,,,,,
Asian or Pacific Islander,A-PI,35-44,43733,59706510,73.2,,,,,,
Asian or Pacific Islander,A-PI,45-54,88197,49452254,178.3,,,,,,
Asian or Pacific Islander,A-PI,55-64,149881,35821555,418.4,,,,,,
Asian or Pacific Islander,A-PI,65-74,216164,21652756,998.3,,,,,,
Asian or Pacific Islander,A-PI,75-84,302372,10592417,2854.6,,,,,,
Asian or Pacific Islander,A-PI,85,332448,3674442,9047.6,,,,,,
Asian or Pacific Islander,A-PI,Total,1178072,298659717,394.5,,,,,,
Black or African American,2054-5,15-24,159519,150582917,105.9,,,,,,
Black or African American,2054-5,25-34,233009,133756139,174.2,,,,,,
Black or African American,2054-5,35-44,376329,126215576,298.2,,,,,,
Black or African American,2054-5,45-54,754079,117006055,644.5,,,,,,
Black or African American,2054-5,55-64,1171811,86195265,1359.5,,,,,,
Black or African American,2054-5,65-74,1325210,49685342,2667.2,,,,,,
Black or African American,2054-5,75-84,1383413,24689741,5603.2,,,,,,
Black or African American,2054-5,85,1183362,8899409,13297.1,,,,,,
Black or African American,2054-5,Total,6586732,697030444,945,,,,,,
White,2106-3,15-24,505156,716785286,70.5,,,,,,
White,2106-3,25-34,763169,708177315,107.8,,,,,,
White,2106-3,35-44,1334364,733157458,182,,,,,,
White,2106-3,45-54,2981159,750442600,397.3,,,,,,
White,2106-3,55-64,5501564,636969344,863.7,,,,,,
White,2106-3,65-74,8425525,435238487,1935.8,,,,,,
White,2106-3,75-84,12973891,261574114,4959.9,,,,,,
White,2106-3,85,15418620,106418089,14488.7,,,,,,
White,2106-3,Total,47903448,4348762693,1101.5,,,,,,
,,Full Total,56014102,5409649211,1035.4,,,,,,
